amfi_code,scheme_name,fund_house,category,alpha,beta,return_3yr_pct,sharpe_ratio,Alpha_Annualized,Alpha_Rank,Beta_Rank
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,0.87,0.89,12.36,0.88,0.87,32,10
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,1.78,0.87,11.3,0.81,1.78,9,7
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,1.23,0.89,23.39,0.94,1.23,20,10
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,1.13,1.04,23.14,0.93,1.13,22,39
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,1.6,0.22,6.07,1.52,1.6,13,1
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,0.78,0.97,14.84,1.06,0.78,35,23
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,1.13,0.97,13.38,0.96,1.13,22,23
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,0.95,0.91,16.58,0.87,0.95,26,14
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.9,1.04,15.29,0.8,0.9,28,39
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,1.98,0.44,7.37,1.84,1.98,1,5
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,0.66,0.96,11.54,0.82,0.66,37,20
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.88,1.03,14.41,1.03,0.88,31,36
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,0.89,1.0,18.08,0.95,0.89,29,31
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,0.55,0.92,14.76,0.98,0.55,38,16
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,1.85,0.26,7.68,7.68,1.85,3,2
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,0.86,0.88,14.0,1.0,0.86,33,9
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,1.7,1.02,12.33,0.88,1.7,10,34
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,0.8,1.03,20.15,0.81,0.8,34,36
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,1.8,1.04,11.77,0.91,1.8,7,39
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.89,0.37,5.31,1.33,0.89,29,3
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,1.27,0.93,12.25,0.87,1.27,19,18
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,1.91,1.0,18.23,0.96,1.91,2,31
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,1.85,0.95,15.65,0.98,1.85,3,19
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,1.52,0.47,6.18,6.18,1.52,14,6
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.41,0.91,11.84,0.85,1.41,17,14
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,1.43,0.87,12.14,0.87,1.43,15,7
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,1.42,1.0,15.18,0.8,1.42,16,31
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,0.51,1.0,20.98,0.84,0.51,40,31
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,1.34,1.03,13.78,0.98,1.34,18,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,1.84,0.97,22.38,0.9,1.84,5,23
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,1.18,0.43,5.14,5.14,1.18,21,4
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,0.93,0.9,12.1,0.93,0.93,27,12
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,1.12,0.92,15.61,0.82,1.12,24,16
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,1.79,1.0,15.34,0.96,1.79,8,31
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,1.62,0.96,14.81,1.06,1.62,12,20
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,1.7,0.99,14.56,0.91,1.7,10,28
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,0.54,0.98,13.58,0.8,0.54,39,26
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,1.82,0.91,12.82,0.92,1.82,6,14
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,1.02,0.98,17.16,0.9,1.02,25,26
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,0.69,0.98,20.08,0.8,0.69,36,26
