,amfi_code,scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct,r3yr_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,Scorecard
1,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,0.98,1.85,1.45,-19.5,74.35897435897436,71.7948717948718,93.58974358974359,46.15384615384615,51.28205128205128,71.03
2,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,0.94,1.23,1.43,-13.35,100.0,56.41025641025641,51.28205128205128,48.717948717948715,82.05128205128204,69.87
3,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,7.68,1.85,0.74,-2.62,12.82051282051282,100.0,93.58974358974359,84.61538461538461,94.87179487179486,69.74
4,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,1.84,1.98,0.56,-6.01,10.256410256410255,92.3076923076923,100.0,97.43589743589743,87.17948717948718,69.49
5,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,0.96,1.91,1.56,-21.92,84.61538461538461,64.1025641025641,97.43589743589743,17.94871794871795,38.46153846153847,67.44
6,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,0.93,1.13,0.72,-24.78,97.43589743589743,52.56410256410257,44.871794871794876,88.46153846153845,25.64102564102564,67.18
7,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,1.06,1.62,1.46,-17.07,58.97435897435898,83.33333333333334,71.7948717948718,43.58974358974359,64.1025641025641,65.83
8,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,0.9,1.84,1.53,-23.61,94.87179487179486,39.743589743589745,89.74358974358975,29.48717948717949,33.33333333333333,64.1
9,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,6.18,1.52,0.6,-3.81,7.6923076923076925,97.43589743589743,66.66666666666666,94.87179487179486,89.74358974358975,63.21
10,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,0.96,1.79,1.64,-12.14,69.23076923076923,64.1025641025641,82.05128205128204,1.282051282051282,84.61538461538461,61.86
