scheme_name,sharpe_ratio,risk_grade,return_1yr_pct
ICICI Pru Liquid Fund - Regular - Growth,7.68,Low,8.89
Kotak Liquid Fund - Regular - Growth,6.18,Low,4.26
ABSL Liquid Fund - Regular - Growth,5.14,Low,6.18
HDFC Top 100 Fund - Regular Plan - Growth,1.06,Moderate,10.94
Mirae Asset Large Cap Fund - Regular - Growth,1.06,Moderate,15.12
ICICI Pru Bluechip Fund - Direct - Growth,1.03,Moderate,14.12
Kotak Emerging Equity Fund - Regular - Growth,0.96,High,17.12
ICICI Pru Midcap Fund - Regular - Growth,0.95,High,14.02
DSP Midcap Fund - Regular - Growth,0.9,High,14.12
SBI Small Cap Fund - Regular Plan - Growth,0.94,Very High,24.56
SBI Small Cap Fund - Direct Plan - Growth,0.93,Very High,20.59
ABSL Small Cap Fund - Regular - Growth,0.9,Very High,24.93
