fund_name,VaR_95,CVaR_95,risk_grade
SBI Bluechip Fund - Regular Plan - Growth,-0.1061,-0.1646,Moderate
SBI Bluechip Fund - Direct Plan - Growth,-0.0778,-0.1363,Moderate
SBI Small Cap Fund - Regular Plan - Growth,-0.1657,-0.2702,Very High
SBI Small Cap Fund - Direct Plan - Growth,-0.2054,-0.3099,Very High
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.0124,-0.0291,Low
HDFC Top 100 Fund - Regular Plan - Growth,-0.1209,-0.1794,Moderate
HDFC Top 100 Fund - Direct Plan - Growth,-0.1155,-0.174,Moderate
HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.1583,-0.2377,High
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.1127,-0.1922,High
HDFC Short Term Debt Fund - Regular - Growth,0.0025,-0.0142,Low
ICICI Pru Bluechip Fund - Regular - Growth,-0.074,-0.1325,Moderate
ICICI Pru Bluechip Fund - Direct - Growth,-0.0891,-0.1476,Moderate
ICICI Pru Midcap Fund - Regular - Growth,-0.1724,-0.2518,High
ICICI Pru Value Discovery Fund - Regular - Growth,-0.08,-0.1427,Moderately High
ICICI Pru Liquid Fund - Regular - Growth,0.0807,0.0786,Low
Nippon India Large Cap Fund - Regular - Growth,-0.0719,-0.1304,Moderate
Nippon India Large Cap Fund - Direct - Growth,-0.0861,-0.1446,Moderate
Nippon India Small Cap Fund - Regular - Growth,-0.1983,-0.3028,Very High
Nippon India ETF Nifty 50 BeES,-0.1125,-0.1668,Moderate
Nippon India Gilt Securities Fund - Regular - Growth,-0.0039,-0.0206,Low
Kotak Bluechip Fund - Regular - Growth,-0.0866,-0.1451,Moderate
Kotak Emerging Equity Fund - Regular - Growth,-0.1413,-0.2208,High
Kotak Flexicap Fund - Regular - Growth,-0.1058,-0.1727,Moderately High
Kotak Liquid Fund - Regular - Growth,0.0344,0.0323,Low
Axis Bluechip Fund - Regular - Growth,-0.1121,-0.1706,Moderate
Axis Bluechip Fund - Direct - Growth,-0.0908,-0.1493,Moderate
Axis Midcap Fund - Regular - Growth,-0.1637,-0.2432,High
Axis Small Cap Fund - Regular - Growth,-0.1916,-0.2961,Very High
ABSL Frontline Equity Fund - Regular - Growth,-0.0821,-0.1406,Moderate
ABSL Small Cap Fund - Regular - Growth,-0.162,-0.2665,Very High
ABSL Liquid Fund - Regular - Growth,0.0536,0.0515,Low
UTI Nifty 50 Index Fund - Regular - Growth,-0.0763,-0.1306,Moderate
UTI Mid Cap Fund - Regular - Growth,-0.1495,-0.229,High
UTI Flexi Cap Fund - Regular - Growth,-0.0889,-0.1558,Moderately High
Mirae Asset Large Cap Fund - Regular - Growth,-0.0791,-0.1376,Moderate
Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1141,-0.181,Moderately High
Mirae Asset Tax Saver Fund - Regular - Growth,-0.1681,-0.2391,High
DSP Top 100 Equity Fund - Regular - Growth,-0.1107,-0.1692,Moderate
DSP Midcap Fund - Regular - Growth,-0.1714,-0.2508,High
DSP Small Cap Fund - Regular - Growth,-0.2093,-0.3138,Very High
